popularityOrder,name,id,filename,scope,categoryId,placeholderSeeded
1,도쿄,tokyo,tokyo.jpg,international,japan,existing
2,오사카,osaka,osaka.jpg,international,japan,existing
3,후쿠오카,fukuoka,fukuoka.jpg,international,japan,existing
4,삿포로,sapporo,sapporo.jpg,international,japan,existing
5,오키나와,okinawa,okinawa.jpg,international,japan,existing
6,제주,jeju,jeju.jpg,domestic,jeju,existing
7,교토,kyoto,kyoto.jpg,international,japan,existing
8,부산,busan,busan.jpg,domestic,gyeongsang,existing
9,요코하마,yokohama,yokohama.jpg,international,japan,existing
10,서울,seoul,seoul.jpg,domestic,capital,existing
11,하코네,hakone,hakone.jpg,international,japan,existing
12,고베,kobe,kobe.jpg,international,japan,existing
13,강릉,gangneung,gangneung.jpg,domestic,gangwon,existing
14,나라,nara,nara.jpg,international,japan,existing
15,속초,sokcho,sokcho.jpg,domestic,gangwon,existing
16,유후인,yufuin,yufuin.jpg,international,japan,existing
17,경주,gyeongju,gyeongju.jpg,domestic,gyeongsang,existing
18,벳푸,beppu,beppu.jpg,international,japan,existing
19,여수,yeosu,yeosu.jpg,domestic,jeolla,existing
20,타이베이,taipei,taipei.jpg,international,china-greater,existing
21,전주,jeonju,jeonju.jpg,domestic,jeolla,existing
22,홍콩,hongkong,hongkong.jpg,international,china-greater,existing
23,순천,suncheon,suncheon.jpg,domestic,jeolla,existing
24,방콕,bangkok,bangkok.jpg,international,southeast-asia,existing
25,다낭,danang,danang.jpg,international,southeast-asia,existing
26,양양,yangyang,yangyang.jpg,domestic,gangwon,existing
27,나트랑,nhatrang,nhatrang.jpg,international,southeast-asia,existing
28,단양,danyang,danyang.jpg,domestic,chungcheong,existing
29,싱가포르,singapore,singapore.jpg,international,southeast-asia,existing
30,통영,tongyeong,tongyeong.jpg,domestic,gyeongsang,existing
31,하노이,hanoi,hanoi.jpg,international,southeast-asia,existing
32,거제,geoje,geoje.jpg,domestic,gyeongsang,existing
33,호찌민시,hochiminh,hochiminh.jpg,international,southeast-asia,existing
34,인천,incheon,incheon.jpg,domestic,capital,existing
35,푸켓,phuket,phuket.jpg,international,southeast-asia,existing
36,치앙마이,chiangmai,chiangmai.jpg,international,southeast-asia,existing
37,춘천,chuncheon,chuncheon.jpg,domestic,gangwon,existing
38,끄라비,krabi,krabi.jpg,international,southeast-asia,existing
39,가평,gapyeong,gapyeong.jpg,domestic,capital,existing
40,파타야,pattaya,pattaya.jpg,international,southeast-asia,existing
41,양평,yangpyeong,yangpyeong.jpg,domestic,capital,existing
42,아유타야,ayutthaya,ayutthaya.jpg,international,southeast-asia,existing
43,대구,daegu,daegu.jpg,domestic,gyeongsang,existing
44,호이안,hoian,hoian.jpg,international,southeast-asia,existing
45,울릉도,ulleungdo,ulleungdo.jpg,domestic,gyeongsang,existing
46,푸꾸옥,phuquoc,phuquoc.jpg,international,southeast-asia,existing
47,포항,pohang,pohang.jpg,domestic,gyeongsang,existing
48,마카오,macau,macau.jpg,international,china-greater,existing
49,세부,cebu,cebu.jpg,international,southeast-asia,existing
50,안동,andong,andong.jpg,domestic,gyeongsang,existing
51,보홀,bohol,bohol.jpg,international,southeast-asia,existing
52,남해,namhae,namhae.jpg,domestic,gyeongsang,existing
53,보라카이,boracay,boracay.jpg,international,southeast-asia,existing
54,울산,ulsan,ulsan.jpg,domestic,gyeongsang,existing
55,마닐라,manila,manila.jpg,international,southeast-asia,existing
56,수원,suwon,suwon.jpg,domestic,capital,existing
57,쿠알라룸푸르,kualalumpur,kualalumpur.jpg,international,southeast-asia,existing
58,파주,paju,paju.jpg,domestic,capital,existing
59,코타키나발루,kotakinabalu,kotakinabalu.jpg,international,southeast-asia,existing
60,페낭,penang,penang.jpg,international,southeast-asia,existing
61,용인,yongin,yongin.jpg,domestic,capital,existing
62,랑카위,langkawi,langkawi.jpg,international,southeast-asia,existing
63,고양,goyang,goyang.jpg,domestic,capital,existing
64,발리,bali,bali.jpg,international,southeast-asia,existing
65,강화,ganghwa,ganghwa.jpg,domestic,capital,existing
66,우붓,ubud,ubud.jpg,international,southeast-asia,existing
67,포천,pocheon,pocheon.jpg,domestic,capital,existing
68,자카르타,jakarta,jakarta.jpg,international,southeast-asia,existing
69,원주,wonju,wonju.jpg,domestic,gangwon,existing
70,롬복,lombok,lombok.jpg,international,southeast-asia,existing
71,동해,donghae,donghae.jpg,domestic,gangwon,existing
72,라부안바조,labuanbajo,labuanbajo.jpg,international,southeast-asia,existing
73,씨엠립,siemreap,siemreap.jpg,international,southeast-asia,existing
74,삼척,samcheok,samcheok.jpg,domestic,gangwon,existing
75,루앙프라방,luangprabang,luangprabang.jpg,international,southeast-asia,existing
76,평창,pyeongchang,pyeongchang.jpg,domestic,gangwon,existing
77,비엔티안,vientiane,vientiane.jpg,international,southeast-asia,existing
78,정선,jeongseon,jeongseon.jpg,domestic,gangwon,existing
79,두바이,dubai,dubai.jpg,international,middle-east-central-asia,existing
80,홍천,hongcheon,hongcheon.jpg,domestic,gangwon,existing
81,이스탄불,istanbul,istanbul.jpg,international,middle-east-central-asia,existing
82,인제,inje,inje.jpg,domestic,gangwon,existing
83,파리,paris,paris.jpg,international,europe,existing
84,고성,goseong,goseong.jpg,domestic,gangwon,existing
85,로마,rome,rome.jpg,international,europe,existing
86,런던,london,london.jpg,international,europe,existing
87,태백,taebaek,taebaek.jpg,domestic,gangwon,existing
88,바르셀로나,barcelona,barcelona.jpg,international,europe,existing
89,대전,daejeon,daejeon.jpg,domestic,chungcheong,existing
90,마드리드,madrid,madrid.jpg,international,europe,existing
91,세종,sejong,sejong.jpg,domestic,chungcheong,existing
92,프라하,prague,prague.jpg,international,europe,existing
93,청주,cheongju,cheongju.jpg,domestic,chungcheong,existing
94,빈,vienna,vienna.jpg,international,europe,existing
95,충주,chungju,chungju.jpg,domestic,chungcheong,existing
96,부다페스트,budapest,budapest.jpg,international,europe,existing
97,암스테르담,amsterdam,amsterdam.jpg,international,europe,existing
98,제천,jecheon,jecheon.jpg,domestic,chungcheong,existing
99,취리히,zurich,zurich.jpg,international,europe,existing
100,보령,boryeong,boryeong.jpg,domestic,chungcheong,existing
101,리스본,lisbon,lisbon.jpg,international,europe,existing
102,태안,taean,taean.jpg,domestic,chungcheong,existing
103,아테네,athens,athens.jpg,international,europe,existing
104,공주,gongju,gongju.jpg,domestic,chungcheong,existing
105,베를린,berlin,berlin.jpg,international,europe,existing
106,부여,buyeo,buyeo.jpg,domestic,chungcheong,existing
107,베네치아,venice,venice.jpg,international,europe,existing
108,천안,cheonan,cheonan.jpg,domestic,chungcheong,existing
109,괌,guam,guam.jpg,international,americas-oceania,existing
110,사이판,saipan,saipan.jpg,international,americas-oceania,existing
111,아산,asan,asan.jpg,domestic,chungcheong,existing
112,호놀룰루,honolulu,honolulu.jpg,international,americas-oceania,existing
113,서산,seosan,seosan.jpg,domestic,chungcheong,existing
114,뉴욕,newyork,newyork.jpg,international,americas-oceania,existing
115,광주,gwangju,gwangju.jpg,domestic,jeolla,existing
116,로스앤젤레스,losangeles,losangeles.jpg,international,americas-oceania,existing
117,군산,gunsan,gunsan.jpg,domestic,jeolla,existing
118,샌프란시스코,sanfrancisco,sanfrancisco.jpg,international,americas-oceania,existing
119,목포,mokpo,mokpo.jpg,domestic,jeolla,existing
120,라스베이거스,lasvegas,lasvegas.jpg,international,americas-oceania,existing
121,올랜도,orlando,orlando.jpg,international,americas-oceania,existing
122,담양,damyang,damyang.jpg,domestic,jeolla,existing
123,토론토,toronto,toronto.jpg,international,americas-oceania,existing
124,남원,namwon,namwon.jpg,domestic,jeolla,existing
125,밴쿠버,vancouver,vancouver.jpg,international,americas-oceania,existing
126,완주,wanju,wanju.jpg,domestic,jeolla,existing
127,멕시코시티,mexicocity,mexicocity.jpg,international,americas-oceania,existing
128,고창,gochang,gochang.jpg,domestic,jeolla,existing
129,칸쿤,cancun,cancun.jpg,international,americas-oceania,existing
130,무주,muju,muju.jpg,domestic,jeolla,existing
131,리우데자네이루,riodejaneiro,riodejaneiro.jpg,international,americas-oceania,existing
132,나주,naju,naju.jpg,domestic,jeolla,existing
133,시드니,sydney,sydney.jpg,international,americas-oceania,existing
134,멜버른,melbourne,melbourne.jpg,international,americas-oceania,existing
135,해남,haenam,haenam.jpg,domestic,jeolla,existing
136,브리즈번,brisbane,brisbane.jpg,international,americas-oceania,existing
137,보성,boseong,boseong.jpg,domestic,jeolla,existing
138,퍼스,perth,perth.jpg,international,americas-oceania,existing
139,신안,sinan,sinan.jpg,domestic,jeolla,existing
140,오클랜드,auckland,auckland.jpg,international,americas-oceania,existing
141,창원,changwon,changwon.jpg,domestic,gyeongsang,existing
142,퀸스타운,queenstown,queenstown.jpg,international,americas-oceania,existing
143,김해,gimhae,gimhae.jpg,domestic,gyeongsang,existing
144,카이로,cairo,cairo.jpg,international,africa,existing
145,케이프타운,capetown,capetown.jpg,international,africa,existing
146,진주,jinju,jinju.jpg,domestic,gyeongsang,existing
147,마라케시,marrakech,marrakech.jpg,international,africa,existing
148,문경,mungyeong,mungyeong.jpg,domestic,gyeongsang,existing
149,모리셔스,mauritius,mauritius.jpg,international,africa,existing
150,영주,yeongju,yeongju.jpg,domestic,gyeongsang,existing
151,세이셸,seychelles,seychelles.jpg,international,africa,existing
152,사천,sacheon,sacheon.jpg,domestic,gyeongsang,existing
153,서귀포,seogwipo,seogwipo.jpg,domestic,jeju,existing
154,애월,aewol,aewol.jpg,domestic,jeju,existing
155,성산,seongsan,seongsan.jpg,domestic,jeju,existing
156,협재,hyeopjae,hyeopjae.jpg,domestic,jeju,existing
157,우도,udo,udo.jpg,domestic,jeju,existing
158,표선,pyoseon,pyoseon.jpg,domestic,jeju,existing
159,한림,hallim,hallim.jpg,domestic,jeju,existing
160,나고야,ngo,ngo.jpg,international,japan,created-from-default
161,센다이,sdj,sdj.jpg,international,japan,created-from-default
162,히로시마,hij,hij.jpg,international,japan,created-from-default
163,가나자와,kmq,kmq.jpg,international,japan,created-from-default
164,가고시마,koj,koj.jpg,international,japan,created-from-default
165,나가사키,ngs,ngs.jpg,international,japan,created-from-default
166,미야자키,kmi,kmi.jpg,international,japan,created-from-default
167,오이타,oit,oit.jpg,international,japan,created-from-default
168,냐짱,cxr,cxr.jpg,international,southeast-asia,created-from-default
169,후에,hui,hui.jpg,international,southeast-asia,created-from-default
170,하이퐁,hph,hph.jpg,international,southeast-asia,created-from-default
171,코사무이,usm,usm.jpg,international,southeast-asia,created-from-default
172,앙헬레스,crk,crk.jpg,international,southeast-asia,created-from-default
173,푸에르토프린세사,pps,pps.jpg,international,southeast-asia,created-from-default
174,다바오,dvo,dvo.jpg,international,southeast-asia,created-from-default
175,조호르바루,jhb,jhb.jpg,international,southeast-asia,created-from-default
176,쿠칭,kch,kch.jpg,international,southeast-asia,created-from-default
177,수라바야,sub,sub.jpg,international,southeast-asia,created-from-default
178,욕야카르타,yia,yia.jpg,international,southeast-asia,created-from-default
179,프놈펜,pnh,pnh.jpg,international,southeast-asia,created-from-default
180,양곤,rgn,rgn.jpg,international,southeast-asia,created-from-default
181,반다르스리브가완,bwn,bwn.jpg,international,southeast-asia,created-from-default
182,가오슝,khh,khh.jpg,international,china-greater,created-from-default
183,타이중,rmq,rmq.jpg,international,china-greater,created-from-default
184,베이징,pek,pek.jpg,international,china-greater,created-from-default
185,상하이,pvg,pvg.jpg,international,china-greater,created-from-default
186,광저우,can,can.jpg,international,china-greater,created-from-default
187,선전,szx,szx.jpg,international,china-greater,created-from-default
188,청두,ctu,ctu.jpg,international,china-greater,created-from-default
189,시안,xiy,xiy.jpg,international,china-greater,created-from-default
190,샤먼,xmn,xmn.jpg,international,china-greater,created-from-default
191,칭다오,tao,tao.jpg,international,china-greater,created-from-default
192,쿤밍,kmg,kmg.jpg,international,china-greater,created-from-default
193,항저우,hgh,hgh.jpg,international,china-greater,created-from-default
194,우한,wuh,wuh.jpg,international,china-greater,created-from-default
195,충칭,ckg,ckg.jpg,international,china-greater,created-from-default
196,난징,nkg,nkg.jpg,international,china-greater,created-from-default
197,다롄,dlc,dlc.jpg,international,china-greater,created-from-default
198,하이커우,hak,hak.jpg,international,china-greater,created-from-default
199,싼야,syx,syx.jpg,international,china-greater,created-from-default
200,우루무치,urc,urc.jpg,international,china-greater,created-from-default
201,톈진,tsn,tsn.jpg,international,china-greater,created-from-default
202,주하이,zuh,zuh.jpg,international,china-greater,created-from-default
203,뉴어크,ewr,ewr.jpg,international,americas-oceania,created-from-default
204,워싱턴 D.C.,iad,iad.jpg,international,americas-oceania,created-from-default
205,보스턴,bos,bos.jpg,international,americas-oceania,created-from-default
206,시애틀,sea,sea.jpg,international,americas-oceania,created-from-default
207,시카고,ord,ord.jpg,international,americas-oceania,created-from-default
208,애틀랜타,atl,atl.jpg,international,americas-oceania,created-from-default
209,댈러스,dfw,dfw.jpg,international,americas-oceania,created-from-default
210,덴버,den,den.jpg,international,americas-oceania,created-from-default
211,마이애미,mia,mia.jpg,international,americas-oceania,created-from-default
212,휴스턴,iah,iah.jpg,international,americas-oceania,created-from-default
213,샌디에이고,san,san.jpg,international,americas-oceania,created-from-default
214,포틀랜드,pdx,pdx.jpg,international,americas-oceania,created-from-default
215,디트로이트,dtw,dtw.jpg,international,americas-oceania,created-from-default
216,미니애폴리스,msp,msp.jpg,international,americas-oceania,created-from-default
217,피닉스,phx,phx.jpg,international,americas-oceania,created-from-default
218,마우이,ogg,ogg.jpg,international,americas-oceania,created-from-default
219,케언스,cns,cns.jpg,international,americas-oceania,created-from-default
220,크라이스트처치,chc,chc.jpg,international,americas-oceania,created-from-default
221,몬트리올,yul,yul.jpg,international,americas-oceania,created-from-default
222,캘거리,yyc,yyc.jpg,international,americas-oceania,created-from-default
223,에드먼턴,yeg,yeg.jpg,international,americas-oceania,created-from-default
224,상파울루,gru,gru.jpg,international,americas-oceania,created-from-default
225,부에노스아이레스,eze,eze.jpg,international,americas-oceania,created-from-default
226,코르도바,cor,cor.jpg,international,americas-oceania,created-from-default
227,산티아고,scl,scl.jpg,international,americas-oceania,created-from-default
228,보고타,bog,bog.jpg,international,americas-oceania,created-from-default
229,메데인,mde,mde.jpg,international,americas-oceania,created-from-default
230,카르타헤나,ctg,ctg.jpg,international,americas-oceania,created-from-default
231,리마,lim,lim.jpg,international,americas-oceania,created-from-default
232,파나마시티,pty,pty.jpg,international,americas-oceania,created-from-default
233,산후안,sju,sju.jpg,international,americas-oceania,created-from-default
234,푼타카나,puj,puj.jpg,international,americas-oceania,created-from-default
235,몬테고베이,mbj,mbj.jpg,international,americas-oceania,created-from-default
236,아루바,aua,aua.jpg,international,americas-oceania,created-from-default
237,산살바도르,sal,sal.jpg,international,americas-oceania,created-from-default
238,과테말라시티,gua,gua.jpg,international,americas-oceania,created-from-default
239,산호세,sjo,sjo.jpg,international,americas-oceania,created-from-default
240,키토,uio,uio.jpg,international,americas-oceania,created-from-default
241,과야킬,gye,gye.jpg,international,americas-oceania,created-from-default
242,니스,nce,nce.jpg,international,europe,created-from-default
243,밀라노,mxp,mxp.jpg,international,europe,created-from-default
244,맨체스터,man,man.jpg,international,europe,created-from-default
245,에든버러,edi,edi.jpg,international,europe,created-from-default
246,팔마,pmi,pmi.jpg,international,europe,created-from-default
247,알리칸테,alc,alc.jpg,international,europe,created-from-default
248,말라가,agp,agp.jpg,international,europe,created-from-default
249,발렌시아,vlc,vlc.jpg,international,europe,created-from-default
250,프랑크푸르트,fra,fra.jpg,international,europe,created-from-default
251,뮌헨,muc,muc.jpg,international,europe,created-from-default
252,뒤셀도르프,dus,dus.jpg,international,europe,created-from-default
253,함부르크,ham,ham.jpg,international,europe,created-from-default
254,제네바,gva,gva.jpg,international,europe,created-from-default
255,포르투,opo,opo.jpg,international,europe,created-from-default
256,브뤼셀,bru,bru.jpg,international,europe,created-from-default
257,바르샤바,waw,waw.jpg,international,europe,created-from-default
258,크라쿠프,krk,krk.jpg,international,europe,created-from-default
259,더블린,dub,dub.jpg,international,europe,created-from-default
260,코펜하겐,cph,cph.jpg,international,europe,created-from-default
261,스톡홀름,arn,arn.jpg,international,europe,created-from-default
262,오슬로,osl,osl.jpg,international,europe,created-from-default
263,헬싱키,hel,hel.jpg,international,europe,created-from-default
264,레이캬비크,kef,kef.jpg,international,europe,created-from-default
265,부쿠레슈티,otp,otp.jpg,international,europe,created-from-default
266,소피아,sof,sof.jpg,international,europe,created-from-default
267,베오그라드,beg,beg.jpg,international,europe,created-from-default
268,델리,del,del.jpg,international,south-asia,created-from-default
269,뭄바이,bom,bom.jpg,international,south-asia,created-from-default
270,벵갈루루,blr,blr.jpg,international,south-asia,created-from-default
271,첸나이,maa,maa.jpg,international,south-asia,created-from-default
272,하이데라바드,hyd,hyd.jpg,international,south-asia,created-from-default
273,콜카타,ccu,ccu.jpg,international,south-asia,created-from-default
274,고아,gox,gox.jpg,international,south-asia,created-from-default
275,아메다바드,amd,amd.jpg,international,south-asia,created-from-default
276,코치,cok,cok.jpg,international,south-asia,created-from-default
277,티루바난타푸람,trv,trv.jpg,international,south-asia,created-from-default
278,푸네,pnq,pnq.jpg,international,south-asia,created-from-default
279,콜롬보,cmb,cmb.jpg,international,south-asia,created-from-default
280,카트만두,ktm,ktm.jpg,international,south-asia,created-from-default
281,다카,dac,dac.jpg,international,south-asia,created-from-default
282,말레,mle,mle.jpg,international,south-asia,created-from-default
283,카라치,khi,khi.jpg,international,south-asia,created-from-default
284,이슬라마바드,isb,isb.jpg,international,south-asia,created-from-default
285,라호르,lhe,lhe.jpg,international,south-asia,created-from-default
286,아부다비,auh,auh.jpg,international,middle-east-central-asia,created-from-default
287,샤르자,shj,shj.jpg,international,middle-east-central-asia,created-from-default
288,도하,doh,doh.jpg,international,middle-east-central-asia,created-from-default
289,안탈리아,ayt,ayt.jpg,international,middle-east-central-asia,created-from-default
290,제다,jed,jed.jpg,international,middle-east-central-asia,created-from-default
291,리야드,ruh,ruh.jpg,international,middle-east-central-asia,created-from-default
292,담맘,dmm,dmm.jpg,international,middle-east-central-asia,created-from-default
293,메디나,med,med.jpg,international,middle-east-central-asia,created-from-default
294,텔아비브,tlv,tlv.jpg,international,middle-east-central-asia,created-from-default
295,암만,amm,amm.jpg,international,middle-east-central-asia,created-from-default
296,마나마,bah,bah.jpg,international,middle-east-central-asia,created-from-default
297,무스카트,mct,mct.jpg,international,middle-east-central-asia,created-from-default
298,쿠웨이트시티,kwi,kwi.jpg,international,middle-east-central-asia,created-from-default
299,알마티,ala,ala.jpg,international,middle-east-central-asia,created-from-default
300,아스타나,nqz,nqz.jpg,international,middle-east-central-asia,created-from-default
301,트빌리시,tbs,tbs.jpg,international,middle-east-central-asia,created-from-default
302,예레반,evn,evn.jpg,international,middle-east-central-asia,created-from-default
303,타슈켄트,tas,tas.jpg,international,middle-east-central-asia,created-from-default
304,울란바토르,ubn,ubn.jpg,international,middle-east-central-asia,created-from-default
305,카사블랑카,cmn,cmn.jpg,international,africa,created-from-default
306,요하네스버그,jnb,jnb.jpg,international,africa,created-from-default
307,나이로비,nbo,nbo.jpg,international,africa,created-from-default
308,다르에스살람,dar,dar.jpg,international,africa,created-from-default
309,잔지바르,znz,znz.jpg,international,africa,created-from-default
310,마헤,sez,sez.jpg,international,africa,created-from-default
311,아디스아바바,add,add.jpg,international,africa,created-from-default
312,튀니스,tun,tun.jpg,international,africa,created-from-default
313,알제,alg,alg.jpg,international,africa,created-from-default
314,라고스,los,los.jpg,international,africa,created-from-default
315,아크라,acc,acc.jpg,international,africa,created-from-default
